Type,Value
D,-1.61179270844385
D,-0.468060329044445
D,0.464523501472992
D,-0.63268785917118
D,-0.0305877754054431
D,0.748283824986975
D,-0.478865504423228
D,1.11460769715102
D,-2.07754386220233
D,1.25876669874027
D,-1.92445973032089
D,-2.20275734949993
D,-0.839970630639998
D,-0.380593349114373
D,-0.104601014097511
D,-1.023160302769
D,0.78089112942974
A,-0.246192376086554
A,-0.995679968743056
A,-0.128079282161773
A,0.660214224147651
A,-1.3699544091603
A,-0.0702111154592445
A,-0.122895286885214
A,0.470798128742208
A,1.22720450608493
A,0.684064349539119
A,1.01183982690842
A,-0.366049809039462
A,-0.121169002877924
A,0.212433667605364
A,1.5415426203487
A,-0.973211677768801
A,-0.0557372229323242
A,-1.98514161078901
A,-0.259213392645166
A,1.35865032439061
A,0.70853780137038
A,-0.376508165717547
A,1.07796964742189
A,-1.19571702897527
A,-0.329266094379423
A,1.5650898548731
A,-0.210854211399708
A,2.18147528118707
A,-0.122492229345549
A,-1.03642365837696
A,1.43175267306471
A,-2.0059984294049
A,-0.339253160957382
A,0.742347131347142
A,-0.998157154484386
A,-0.28617122183191
A,-0.257986347199615
A,-0.916992814015523
A,-1.27833032882037
A,0.544674077194255
A,-0.452990347491989
A,-1.67530064796286
A,0.172269111797834
A,0.467010311456888
A,-0.145874357487161
A,-0.0143031617888413
A,-1.46790712770207
A,-0.775412860781547
A,2.09014837453108
A,-0.0972296899054372
A,-1.33087367205859
A,0.92985988183911
A,1.562945831106
A,0.824761177663586
A,1.36312994817603
A,-1.63268500815564
A,0.566900798863116
A,-1.83433209415318
A,-0.434328631738305
A,-1.04690501814603
A,-1.72939501260259
A,0.497460364676361
A,0.602085145276847
C,-0.881487900420189
C,0.402948815513066
C,0.994995489908564
C,0.517409949765755
C,1.7218528340622
C,-1.64030671446516
C,1.79942212385815
C,-0.197402566460223
C,0.430944964061875
C,0.350726463349927
C,1.93530183793029
C,1.61787293517284
C,1.13192746334118
C,-2.40180981892345
C,-0.709173952145143
C,-0.394714701859067
C,-1.59898406284081
C,1.06811500413467
C,-0.171440972609855
C,1.00987570224795
B,4.31486041918843
B,11.7029208321992
B,0.27344228682064
B,4.60181486186167
B,1.66065597844207
B,0.365428698790811
B,-1.80856473554309
B,0.901335385322705
B,1.08625280094131
B,-5.83192484199507
B,-0.0919273207447735
B,3.57008573386598
B,1.54522406511527
B,9.12649562916946
B,0.429006640558965
B,-7.11127426551338
B,6.88071048131686
B,-11.3048570621834
B,-2.62042169430368
B,1.73939250867507
B,7.00148207156776
B,11.5575578258804
B,7.631685458562
B,1.13094010572188
B,2.2108139042037
B,9.31610452186804
B,-8.54905078181164
B,3.01917539558217
B,7.62147908694799
B,1.65464461470668
B,0.411541395511211
B,2.35369774281295
B,-1.01001826770917
B,6.58513714540285
B,2.85860170280611
B,-0.472380337055265
B,11.6993191392983
B,-1.55314623130821
B,5.96821385915243
B,-1.82335351885617
B,1.6906827668948
B,-7.9412065892263
B,2.27647240946615
B,8.19741583551994
B,11.949694255975
B,-7.95159373003421
B,6.03834302640385
B,6.22942371774289
B,-4.3572847783571
B,3.68281671350217
B,2.78668097761238
B,0.321320584127107
B,3.02870544366508
B,3.80701528968975
B,-1.54760938194289
B,6.39524629442074
B,6.32712856914477
B,4.3651684049474
B,3.39742309285076
B,5.65113106656839
B,2.05163978519184
B,-3.89832792086631
B,-0.742943754840037
B,2.75247173585524
B,0.655353731395167
B,1.40418264721301
B,-6.24874035764268
B,-8.21656330151315
E,1.63987937892348
E,4.95052315551402
E,2.19743579881518
E,6.23825670624131
E,5.08683394887019
E,5.65482565551031
E,1.75885721590548
E,-1.50800072457722
E,1.49063346793616
E,6.44039979320401
E,6.03658452168689
E,10.0307202259718
E,-1.93136462144888
E,3.08887546511827
E,4.90310153721856
G,9.18024705495547
G,-1.05072010210625
G,4.16319675387706
G,4.36728809712337
G,3.64154175800083
G,4.58898969527968
G,-7.67755270726838
G,12.6409987208839
G,-1.6462406276557
G,7.81368519855262
G,-5.94512127537984
G,-5.50587363813743
G,-4.09959807155967
G,-2.69301716221306
G,11.1671551019346
G,10.4161459230034
G,7.27316161845819
